countries,pearson corr,pearson p,spearman corr,spearman p
Gabon_Qatar,0.05244338473167478,0.3574346370781486,0.7144448401318477,1.0796759314998227e-49
Gabon_Romania,0.27995859157108893,5.448649202795976e-07,0.273697055907642,9.920121919907815e-07
Gabon_Russia,0.5167972182899769,1.4421111125353022e-22,0.5704870770590927,3.6799520702146974e-28
Gabon_Rwanda,0.531711349932388,5.0640496269256865e-24,0.8264885675635513,7.673013864403479e-79
Gabon_Saint Kitts and Nevis,0.3967110420302363,3.9714909689731046e-13,0.3346236321142957,1.5132386707287433e-09
Gabon_Saint Lucia,0.3751855096677084,8.476247677829298e-12,0.13738088349292885,0.015496782057710703
Gabon_Saint Vincent and the Grenadines,0.3085222889371462,2.9223350029627527e-08,0.3455687280982244,4.013886734847142e-10
Gabon_San Marino,-0.009619876712075329,0.8660364927376928,0.24486005891183033,1.2985645469912286e-05
Gabon_Sao Tome and Principe,0.1472676551350429,0.009414807056488197,0.3804317902775756,4.103400184988017e-12
Gabon_Saudi Arabia,0.2594728798163657,3.6642934073506425e-06,0.7712420617678651,2.227933631651353e-62
Gabon_Senegal,0.3894813953244601,1.138326310442325e-12,0.8163488085900971,2.072337652894313e-75
Gabon_Serbia,0.2537527130772895,6.068422864334156e-06,0.5137259634911264,2.816576628520703e-22
Gabon_Seychelles,0.1848794643928074,0.001074620716029276,0.13326983999294825,0.018901948039896754
Gabon_Sierra Leone,0.5038821974815593,2.3011659553574433e-21,0.725798311011632,5.682142313275388e-52
Gabon_Singapore,0.40156010081989346,1.9316335533804764e-13,0.3918397295278004,8.096829035989356e-13
Gabon_Slovakia,0.17226813852001,0.0023374531989938632,0.12112691012689035,0.033015117229693615
Gabon_Slovenia,0.037131451793258,0.5148204032855639,-0.015758733150878623,0.7822735614390877
Gabon_Solomon Islands,-0.15072057055100613,0.007856139608650725,-0.2890679545875674,2.218753793774187e-07
Gabon_Somalia,0.4859511778707397,8.905775177642545e-20,0.7474604726836137,1.1805375402157128e-56
Gabon_South Africa,0.35763384904891904,8.746834998273211e-11,0.7825656786123291,2.357487468381957e-65
Gabon_South Korea,-0.1362551701401581,0.01637116569727078,-0.5272031593541572,1.4182733066236714e-23
Gabon_South Sudan,0.2153949407539142,0.0001323429328389176,0.4393373836282295,4.63370685499924e-16
Gabon_Spain,0.0942525272889745,0.09762617671579801,-0.14435833783783056,0.010935102094892821
Gabon_Sri Lanka,0.29848096899515575,8.47708417996081e-08,0.47003871753045257,1.9169014965289595e-18
Gabon_Sudan,0.6702742597186522,8.594437218584036e-42,0.9107411413198421,2.529414504617586e-120
Gabon_Suriname,0.6023962297218645,5.308194167607816e-32,0.3723583525097837,1.2463875264145772e-11
Gabon_Swaziland,0.6299402450440517,1.1071688379723335e-35,0.8232618447147074,1.0016875680124008e-77
Gabon_Sweden,0.04416016811483394,0.43848324384417453,0.3399646238727576,7.970231571747478e-10
Gabon_Switzerland,0.03155205230827943,0.5799725554431674,-0.08546514243608577,0.13324217045308745
Gabon_Syria,0.33998433657836996,7.951213377868763e-10,0.6074634650751815,1.1876610459057234e-32
Gabon_Taiwan,0.4299021773318433,2.2456750644611638e-15,-0.2472917430936358,1.0576557610485567e-05
Gabon_Tajikistan,0.13465748611043254,0.01768608478060942,0.33104977064022834,2.3081512867635284e-09
Gabon_Tanzania,0.734208196370815,9.801605496605378e-54,0.6465990098409246,4.2905480091865715e-38
Gabon_Thailand,0.5944703361935222,5.236875057513187e-31,-0.06438895121652316,0.25835914000085275
Gabon_Timor,0.32576872810826013,4.264963838912939e-09,0.24124392093505403,1.7550912755642467e-05
Gabon_Togo,0.7771107177419448,6.72481970345426e-64,0.712905924601463,2.1558919688790944e-49
Gabon_Trinidad and Tobago,0.673052775157347,3.0035236392284834e-42,0.17153783406549497,0.0024412639991765596
Gabon_Tunisia,0.3245877648983668,4.88482860309149e-09,0.03854630619981706,0.4989216668778448
Gabon_Turkey,0.5886128312094105,2.7307065838699687e-30,0.673293942390713,2.7400950545833427e-42
Gabon_Uganda,0.49858822914480366,6.925754534749748e-21,0.4011355201850708,2.058436712676726e-13
Gabon_Ukraine,0.672020616678237,4.444504169279995e-42,0.61113364596364,3.9479781209625026e-33
Gabon_United Arab Emirates,0.5148780645229747,2.192852992213647e-22,0.1693873029895249,0.0027718087682422504
Gabon_United Kingdom,0.1742759076165008,0.0020724466213003965,-0.1656906487361803,0.0034362819353854043
Gabon_United States,0.4196712398331648,1.1770850967131578e-14,0.32805604722860193,3.273778388714679e-09
Gabon_Uruguay,0.4299483177487091,2.2286749405601507e-15,0.3930254180692636,6.815272394908251e-13
Gabon_Uzbekistan,0.49849111010405184,7.065910854206349e-21,0.8488070248174623,3.000084770054558e-87
Gabon_Vanuatu,-0.06992351568889188,0.2195745483295956,-0.13389530990740808,0.018345183897388297
Gabon_Vatican,0.3508217753646221,2.084036665888334e-10,0.2844556954093858,3.510710963119421e-07
